group,n,eod,dpd,ece,ece_reference,violation_eod,insufficient_size,window,model,task,protected_attr
AfricanAmerican,4523,0.009705728208387693,0.0011421061737711693,0.008351970138659136,0.0076515253622386585,False,False,2,logistic_regression,readmit_30,race
Asian,139,,,,0.0076515253622386585,False,True,2,logistic_regression,readmit_30,race
Hispanic,455,0.010778443113772455,0.0023953689533568433,0.01597132884568965,0.0076515253622386585,False,False,2,logistic_regression,readmit_30,race
Other,207,0.010778443113772455,0.0023953689533568433,0.03531198888124171,0.0076515253622386585,False,False,2,logistic_regression,readmit_30,race
Male,9247,0.005770851497214085,0.001313299366668538,0.009378275697907008,0.008034262867719619,False,False,2,logistic_regression,readmit_30,gender
Unknown/Invalid,1,,,,0.008034262867719619,False,True,2,logistic_regression,readmit_30,gender
AfricanAmerican,4821,0.0156225950438664,0.0032495928421980057,0.020925870246959848,0.012426143251035518,False,False,3,logistic_regression,readmit_30,race
Asian,88,,,,0.012426143251035518,False,True,3,logistic_regression,readmit_30,race
Hispanic,261,0.00684931506849315,0.001687938489950773,0.052686363448934424,0.012426143251035518,False,False,3,logistic_regression,readmit_30,race
Other,254,0.00684931506849315,0.0021434791345702996,0.0064370883352734,0.012426143251035518,False,False,3,logistic_regression,readmit_30,race
Male,9261,0.015278605591010191,0.00300251125813951,0.012126019847119534,0.01597509988364669,False,False,3,logistic_regression,readmit_30,gender
AfricanAmerican,2899,0.013953119376473,0.0003420994865413092,0.04322780974836442,0.028390145824664623,False,False,4,logistic_regression,readmit_30,race
Asian,106,,,,0.028390145824664623,False,True,4,logistic_regression,readmit_30,race
Hispanic,354,0.02474448628294782,0.005861244019138756,0.03836593089955517,0.028390145824664623,False,False,4,logistic_regression,readmit_30,race
Other,274,0.022874561336099795,0.005087661090350295,0.0543535201398803,0.028390145824664623,False,False,4,logistic_regression,readmit_30,race
Male,9443,0.001572601944508647,0.0014394883274103177,0.027826806795599564,0.03291707578152493,False,False,4,logistic_regression,readmit_30,gender
Unknown/Invalid,1,,,,0.03291707578152493,False,True,4,logistic_regression,readmit_30,gender
AfricanAmerican,2596,0.004113845389013174,0.0007439456550952361,0.03057077361734024,0.03119796138998253,False,False,5,logistic_regression,readmit_30,race
Asian,233,0.02181208053691275,0.005751649815341769,0.029918266054423274,0.03119796138998253,False,False,5,logistic_regression,readmit_30,race
Hispanic,526,0.02181208053691275,0.005751649815341769,0.03452489752723338,0.03119796138998253,False,False,5,logistic_regression,readmit_30,race
Other,482,0.02181208053691275,0.00047241657469972425,0.026747130790463956,0.03119796138998253,False,False,5,logistic_regression,readmit_30,race
Male,9583,0.026383403951897103,0.0043903476938182955,0.028356747793505457,0.03276814918149423,False,False,5,logistic_regression,readmit_30,gender
Unknown/Invalid,1,,,,0.03276814918149423,False,True,5,logistic_regression,readmit_30,gender
AfricanAmerican,4523,0.0011251240535688403,0.0011164207008023852,0.009474154679537503,0.0062771675736059025,False,False,2,xgboost,readmit_30,race
Asian,139,,,,0.0062771675736059025,False,True,2,xgboost,readmit_30,race
Hispanic,455,0.021941830624465353,0.007462495585457859,0.014795367370594989,0.0062771675736059025,False,False,2,xgboost,readmit_30,race
Other,207,0.013772455089820359,0.0035265154035531306,0.031654393975285515,0.0062771675736059025,False,False,2,xgboost,readmit_30,race
Male,9247,0.005476912383945718,0.0011681313875870616,0.007093304342175227,0.007111562524814423,False,False,2,xgboost,readmit_30,gender
Unknown/Invalid,1,,,,0.007111562524814423,False,True,2,xgboost,readmit_30,gender
AfricanAmerican,4821,0.022292340054384074,0.00441197787900411,0.0198855892139039,0.010679794147673545,False,False,3,xgboost,readmit_30,race
Asian,88,,,,0.010679794147673545,False,True,3,xgboost,readmit_30,race
Hispanic,261,0.027046013347383213,5.363830688759515e-05,0.03473341559199081,0.010679794147673545,False,False,3,xgboost,readmit_30,race
Other,254,0.01141552511415525,0.0038850559314086677,0.019279902727585136,0.010679794147673545,False,False,3,xgboost,readmit_30,race
Male,9261,0.012000465190655483,0.0013776562548613739,0.010458140703691108,0.014825729817807613,False,False,3,xgboost,readmit_30,gender
AfricanAmerican,2899,0.008910569231543222,0.00015848560219577403,0.046916828443569,0.028637041915297222,False,False,4,xgboost,readmit_30,race
Asian,106,,,,0.028637041915297222,False,True,4,xgboost,readmit_30,race
Hispanic,354,0.02689618074233459,0.0014076987538182897,0.03091042370951108,0.028637041915297222,False,False,4,xgboost,readmit_30,race
Other,274,0.020722866876713028,0.00024185380505011705,0.05323462041407606,0.028637041915297222,False,False,4,xgboost,readmit_30,race
Male,9443,0.01106150781396046,0.0008128434428329896,0.028434747825496515,0.03392116860264173,False,False,4,xgboost,readmit_30,gender
Unknown/Invalid,1,,,,0.03392116860264173,False,True,4,xgboost,readmit_30,gender
AfricanAmerican,2596,0.03262490678598061,0.003515288399224107,0.03096655307937476,0.028551195202280406,False,False,5,xgboost,readmit_30,race
Asian,233,0.022930648769574943,0.006114911908942302,0.02301444708021925,0.028551195202280406,False,False,5,xgboost,readmit_30,race
Hispanic,526,0.022930648769574943,0.006114911908942302,0.029868553360718735,0.028551195202280406,False,False,5,xgboost,readmit_30,race
Other,482,0.022930648769574943,0.006114911908942302,0.02327191393776059,0.028551195202280406,False,False,5,xgboost,readmit_30,race
Male,9583,0.020087724711012382,0.0024306719255149586,0.02598138275850445,0.03062570086899132,False,False,5,xgboost,readmit_30,gender
Unknown/Invalid,1,,,,0.03062570086899132,False,True,5,xgboost,readmit_30,gender
AfricanAmerican,4523,7.485590238790328e-05,6.653802648213454e-05,0.02162226927292408,0.020369872116264676,False,False,2,mlp,readmit_30,race
Asian,139,,,,0.020369872116264676,False,True,2,mlp,readmit_30,race
Hispanic,455,7.485590238790328e-05,6.653802648213454e-05,0.02523995462243219,0.020369872116264676,False,False,2,mlp,readmit_30,race
Other,207,7.485590238790328e-05,6.653802648213454e-05,0.027475033078330838,0.020369872116264676,False,False,2,mlp,readmit_30,race
Male,9247,0.00012201073694485115,0.00010814318157240186,0.017831055966186223,0.022556350686227904,False,False,2,mlp,readmit_30,gender
Unknown/Invalid,1,,,,0.022556350686227904,False,True,2,mlp,readmit_30,gender
AfricanAmerican,4821,0.00016296747665892742,0.00014691679869935142,0.027120911515735074,0.02027074193221702,False,False,3,mlp,readmit_30,race
Asian,88,,,,0.02027074193221702,False,True,3,mlp,readmit_30,race
Hispanic,261,0.00030355923199514305,0.00026793489182128745,0.029215104165227226,0.02027074193221702,False,False,3,mlp,readmit_30,race
Other,254,0.00030355923199514305,0.00026793489182128745,0.0662178803741258,0.02027074193221702,False,False,3,mlp,readmit_30,race
Male,9261,0.0002856537287174028,0.0002516086658362393,0.022600834790125025,0.02251312827540996,False,False,3,mlp,readmit_30,gender
AfricanAmerican,2899,0.0005379236148466917,0.0004186602870813397,0.036296072030494266,0.02983535473690055,False,False,4,mlp,readmit_30,race
Asian,106,,,,0.02983535473690055,False,True,4,mlp,readmit_30,race
Hispanic,354,0.0005379236148466917,0.0004186602870813397,0.011231113020624767,0.02983535473690055,False,False,4,mlp,readmit_30,race
Other,274,0.0005379236148466917,0.0004186602870813397,0.027764306057089804,0.02983535473690055,False,False,4,mlp,readmit_30,race
Male,9443,0.0008424599831508003,4.897407467805711e-05,0.027249132252482718,0.03257147376477933,False,False,4,mlp,readmit_30,gender
Unknown/Invalid,1,,,,0.03257147376477933,False,True,4,mlp,readmit_30,gender
AfricanAmerican,2596,0.0011185682326621924,0.00014303328325963456,0.03825798573162996,0.03082246163261591,False,False,5,mlp,readmit_30,race
Asian,233,0.0011185682326621924,0.00024217472906702184,0.04346770467903759,0.03082246163261591,False,False,5,mlp,readmit_30,race
Hispanic,526,0.0011185682326621924,0.00024217472906702184,0.031686763397501275,0.03082246163261591,False,False,5,mlp,readmit_30,race
Other,482,0.0011185682326621924,0.00024217472906702184,0.042286461596645016,0.03082246163261591,False,False,5,mlp,readmit_30,race
Male,9583,0.0017123287671232876,0.00026705058700842783,0.03386294019414075,0.029949066967870606,False,False,5,mlp,readmit_30,gender
Unknown/Invalid,1,,,,0.029949066967870606,False,True,5,mlp,readmit_30,gender
AfricanAmerican,4523,0.03895770179101116,0.022992087800419808,0.022160524484394404,0.012968220906958629,False,False,2,logistic_regression,extended_stay,race
Asian,139,,,,0.012968220906958629,False,True,2,logistic_regression,extended_stay,race
Hispanic,455,0.17719122320210268,0.10462029819272484,0.037603469132448775,0.012968220906958629,True,False,2,logistic_regression,extended_stay,race
Other,207,0.0960411000302206,0.01824427684576324,0.059721120478642496,0.012968220906958629,True,False,2,logistic_regression,extended_stay,race
Male,9247,0.027696552832222165,0.00900406654394209,0.013682489018848509,0.010455713019968374,False,False,2,logistic_regression,extended_stay,gender
Unknown/Invalid,1,,,,0.010455713019968374,False,True,2,logistic_regression,extended_stay,gender
AfricanAmerican,4821,0.08784863466633291,0.05036884188977797,0.025205238276084615,0.06019769398607565,True,False,3,logistic_regression,extended_stay,race
Asian,88,,,,0.06019769398607565,False,True,3,logistic_regression,extended_stay,race
Hispanic,261,0.1615328451926487,0.11562930437788674,0.0836016568969836,0.06019769398607565,True,False,3,logistic_regression,extended_stay,race
Other,254,0.052981889013220596,0.03277112716727945,0.05393501400589453,0.06019769398607565,True,False,3,logistic_regression,extended_stay,race
Male,9261,0.023593477139125185,0.02823549410720158,0.05468908530449454,0.04610008602425676,False,False,3,logistic_regression,extended_stay,gender
AfricanAmerican,2899,0.05623575038579437,0.048987152804712386,0.06266938281489741,0.11206088703756634,True,False,4,logistic_regression,extended_stay,race
Asian,106,,,,0.11206088703756634,False,True,4,logistic_regression,extended_stay,race
Hispanic,354,0.16378461375549325,0.0778018814370286,0.08938582324699679,0.11206088703756634,True,False,4,logistic_regression,extended_stay,race
Other,274,0.0982383952680983,0.07538941081968356,0.09090086568221387,0.11206088703756634,True,False,4,logistic_regression,extended_stay,race
Male,9443,0.028090815622156567,0.03662735612987039,0.10239871228887931,0.10393073806530934,False,False,4,logistic_regression,extended_stay,gender
Unknown/Invalid,1,,,,0.10393073806530934,False,True,4,logistic_regression,extended_stay,gender
AfricanAmerican,2596,0.11953850949131839,0.08008868016918272,0.06326522290823601,0.1330024474518897,True,False,5,logistic_regression,extended_stay,race
Asian,233,0.07352096771106476,0.07147688387643786,0.10773827920602293,0.1330024474518897,True,False,5,logistic_regression,extended_stay,race
Hispanic,526,0.11422515253772322,0.12317485544908102,0.07724441463793624,0.1330024474518897,True,False,5,logistic_regression,extended_stay,race
Other,482,0.06490928312309496,0.0798824899883108,0.10492581715360727,0.1330024474518897,True,False,5,logistic_regression,extended_stay,race
Male,9583,0.03809101049946553,0.04138740540908725,0.11649830592863389,0.12572225341407364,False,False,5,logistic_regression,extended_stay,gender
Unknown/Invalid,1,,,,0.12572225341407364,False,True,5,logistic_regression,extended_stay,gender
AfricanAmerican,4523,0.03522531518184835,0.014536668417917703,0.022547015611007363,0.0136728078350985,False,False,2,xgboost,extended_stay,race
Asian,139,,,,0.0136728078350985,False,True,2,xgboost,extended_stay,race
Hispanic,455,0.15174638497394616,0.09755703076615976,0.048600578095231745,0.0136728078350985,True,False,2,xgboost,extended_stay,race
Other,207,0.11441523118767005,0.02881128690650575,0.03909379783747853,0.0136728078350985,True,False,2,xgboost,extended_stay,race
Male,9247,0.019120771686524873,0.021791936900863756,0.00994886331420544,0.016390429934984064,False,False,2,xgboost,extended_stay,gender
Unknown/Invalid,1,,,,0.016390429934984064,False,True,2,xgboost,extended_stay,gender
AfricanAmerican,4821,0.06634374282912991,0.04106057755864101,0.027885420633886788,0.052949565864829434,True,False,3,xgboost,extended_stay,race
Asian,88,,,,0.052949565864829434,False,True,3,xgboost,extended_stay,race
Hispanic,261,0.16248409370632294,0.08800557633077538,0.08829730159649446,0.052949565864829434,True,False,3,xgboost,extended_stay,race
Other,254,0.06260101952007958,0.02803031461779984,0.05778683616420415,0.052949565864829434,True,False,3,xgboost,extended_stay,race
Male,9261,0.020818209151843042,0.029842524477378063,0.0504810077766468,0.0420576569624581,False,False,3,xgboost,extended_stay,gender
AfricanAmerican,2899,0.04950614582909674,0.04112575529261864,0.05968674072091766,0.10527233935215258,False,False,4,xgboost,extended_stay,race
Asian,106,,,,0.10527233935215258,False,True,4,xgboost,extended_stay,race
Hispanic,354,0.0925213109546249,0.09350890709053064,0.06069597723962224,0.10527233935215258,True,False,4,xgboost,extended_stay,race
Other,274,0.01184904204706183,0.012928264589808947,0.08414994990521103,0.10527233935215258,False,False,4,xgboost,extended_stay,race
Male,9443,0.030762332596120406,0.03933969473396287,0.09469763225138372,0.09906343604424432,False,False,4,xgboost,extended_stay,gender
Unknown/Invalid,1,,,,0.09906343604424432,False,True,4,xgboost,extended_stay,gender
AfricanAmerican,2596,0.07449131264398579,0.05602713756280242,0.061070880953090496,0.11983974134279861,True,False,5,xgboost,extended_stay,race
Asian,233,0.041600474668402,0.031679676629177256,0.10172765518142943,0.11983974134279861,False,False,5,xgboost,extended_stay,race
Hispanic,526,0.0852149903306563,0.09391959568790861,0.0756417282435604,0.11983974134279861,True,False,5,xgboost,extended_stay,race
Other,482,0.037303606372295156,0.05338822292234058,0.10311159673939108,0.11983974134279861,False,False,5,xgboost,extended_stay,race
Male,9583,0.03685161717811736,0.043640205094695794,0.10312172162589406,0.11633555517638294,False,False,5,xgboost,extended_stay,gender
Unknown/Invalid,1,,,,0.11633555517638294,False,True,5,xgboost,extended_stay,gender
AfricanAmerican,4523,0.04769050227697419,0.024879175667554182,0.03227173712628313,0.024378940496784414,False,False,2,mlp,extended_stay,race
Asian,139,,,,0.024378940496784414,False,True,2,mlp,extended_stay,race
Hispanic,455,0.17880756797347913,0.10888692118314847,0.04331967377267148,0.024378940496784414,True,False,2,mlp,extended_stay,race
Other,207,0.08129344212753098,0.008276109023360012,0.0555089073374057,0.024378940496784414,True,False,2,mlp,extended_stay,race
Male,9247,0.012591752425754263,0.015079853344017485,0.021441652897808892,0.026802668717972034,False,False,2,mlp,extended_stay,gender
Unknown/Invalid,1,,,,0.026802668717972034,False,True,2,mlp,extended_stay,gender
AfricanAmerican,4821,0.08531113753468095,0.05603585103347991,0.039952717288793974,0.05299840593245557,True,False,3,mlp,extended_stay,race
Asian,88,,,,0.05299840593245557,False,True,3,mlp,extended_stay,race
Hispanic,261,0.18776727788555814,0.11432966616698348,0.09627488651375354,0.05299840593245557,True,False,3,mlp,extended_stay,race
Other,254,0.06774420821418212,0.02785125183084447,0.06627984332790118,0.05299840593245557,True,False,3,mlp,extended_stay,race
Male,9261,0.01699683946156369,0.023633740412518284,0.045499304220992035,0.05035791093746875,False,False,3,mlp,extended_stay,gender
AfricanAmerican,2899,0.044042965873854006,0.03402678864680281,0.047382154998308626,0.08704153000800037,False,False,4,mlp,extended_stay,race
Asian,106,,,,0.08704153000800037,False,True,4,mlp,extended_stay,race
Hispanic,354,0.06587070471753054,0.07054239991349717,0.061735874175485136,0.08704153000800037,True,False,4,mlp,extended_stay,race
Other,274,0.033097595473833064,0.01185956763175361,0.09108051119765996,0.08704153000800037,False,False,4,mlp,extended_stay,race
Male,9443,0.02493454947656004,0.028372200676595516,0.08239125643818723,0.07817737695439628,False,False,4,mlp,extended_stay,gender
Unknown/Invalid,1,,,,0.07817737695439628,False,True,4,mlp,extended_stay,gender
AfricanAmerican,2596,0.12621059213727093,0.07207265932200593,0.04970858371909189,0.1098508473716042,True,False,5,mlp,extended_stay,race
Asian,233,0.024528565454450618,0.033966824660559114,0.09418422955304621,0.1098508473716042,False,False,5,mlp,extended_stay,race
Hispanic,526,0.11876550984593093,0.11614016299832575,0.0526661730386445,0.1098508473716042,True,False,5,mlp,extended_stay,race
Other,482,0.045641948381032305,0.045016991169917475,0.09511600504795338,0.1098508473716042,False,False,5,mlp,extended_stay,race
Male,9583,0.02708120780673548,0.031149704032335968,0.09771854720911013,0.10149192782729914,False,False,5,mlp,extended_stay,gender
Unknown/Invalid,1,,,,0.10149192782729914,False,True,5,mlp,extended_stay,gender
AfricanAmerican,4523,0.004063500838929701,0.00046076443233405984,0.008778084898467617,0.007137444597428042,False,False,2,logistic_regression,med_change,race
Asian,139,,,,0.007137444597428042,False,True,2,logistic_regression,med_change,race
Hispanic,455,0.0016697621404263563,0.01929807500371078,0.005874925575382044,0.007137444597428042,False,False,2,logistic_regression,med_change,race
Other,207,0.006745904272406067,0.04746604230211282,0.008242718258318953,0.007137444597428042,False,False,2,logistic_regression,med_change,race
Male,9247,0.00042272300853396505,0.005687961297498045,0.007517958710787074,0.007381081690204691,False,False,2,logistic_regression,med_change,gender
Unknown/Invalid,1,,,,0.007381081690204691,False,True,2,logistic_regression,med_change,gender
AfricanAmerican,4821,0.004139559718821517,0.02347638463907198,0.006213495580879232,0.00498196944672029,False,False,3,logistic_regression,med_change,race
Asian,88,,,,0.00498196944672029,False,True,3,logistic_regression,med_change,race
Hispanic,261,0.005442696956458382,0.08796913307920584,0.007260309848910793,0.00498196944672029,False,False,3,logistic_regression,med_change,race
Other,254,0.015363331877093378,0.028159798901150446,0.010764344190756635,0.00498196944672029,False,False,3,logistic_regression,med_change,race
Male,9261,0.001621677167427782,0.011868616157789447,0.0048194950051928115,0.0054294356477992975,False,False,3,logistic_regression,med_change,gender
AfricanAmerican,2899,0.0014391169535129533,0.03253930987586884,0.004054363717359337,0.003961616810286142,False,False,4,logistic_regression,med_change,race
Asian,106,,,,0.003961616810286142,False,True,4,logistic_regression,med_change,race
Hispanic,354,0.004400313114504617,0.11317884464628447,0.004659051382926435,0.003961616810286142,False,False,4,logistic_regression,med_change,race
Other,274,0.022444400541883014,0.1535928823385604,0.022824342053443577,0.003961616810286142,False,False,4,logistic_regression,med_change,race
Male,9443,0.002722478985359267,0.022451249609190316,0.004963964833768161,0.004676247229545492,False,False,4,logistic_regression,med_change,gender
Unknown/Invalid,1,,,,0.004676247229545492,False,True,4,logistic_regression,med_change,gender
AfricanAmerican,2596,0.0023427822421187017,0.0016051772031486777,0.0043915501629029595,0.006014606319426437,False,False,5,logistic_regression,med_change,race
Asian,233,0.0031646424494312653,0.0005953029016014799,0.003448914012202643,0.006014606319426437,False,False,5,logistic_regression,med_change,race
Hispanic,526,0.001362749902858451,0.01724930944520575,0.006140786018694546,0.006014606319426437,False,False,5,logistic_regression,med_change,race
Other,482,0.001680000033896567,0.07507039773179758,0.005502853952240904,0.006014606319426437,False,False,5,logistic_regression,med_change,race
Male,9583,0.00018554004952853198,0.024231425368216764,0.005549243003972083,0.005965098529867216,False,False,5,logistic_regression,med_change,gender
Unknown/Invalid,1,,,,0.005965098529867216,False,True,5,logistic_regression,med_change,gender
AfricanAmerican,4523,0.004651337530968691,0.00021609044240461506,0.004998640804348722,0.004200387076558445,False,False,2,xgboost,med_change,race
Asian,139,,,,0.004200387076558445,False,True,2,xgboost,med_change,race
Hispanic,455,0.0073582047447987575,0.015368236793481316,0.005619675365204994,0.004200387076558445,False,False,2,xgboost,med_change,race
Other,207,0.007870221651140374,0.04793180848748779,0.00769246128446238,0.004200387076558445,False,False,2,xgboost,med_change,race
Male,9247,0.0005174438546159399,0.005291157135451197,0.0041960812573324895,0.004429146902990443,False,False,2,xgboost,med_change,gender
Unknown/Invalid,1,,,,0.004429146902990443,False,True,2,xgboost,med_change,gender
AfricanAmerican,4821,0.00531696925978975,0.02399930506992587,0.004378384584435423,0.0036401590877620264,False,False,3,xgboost,med_change,race
Asian,88,,,,0.0036401590877620264,False,True,3,xgboost,med_change,race
Hispanic,261,0.003403960972768294,0.08890690520058037,0.006064379293385936,0.0036401590877620264,False,False,3,xgboost,med_change,race
Other,254,0.01332459589340329,0.02909757102252497,0.010063830341439784,0.0036401590877620264,False,False,3,xgboost,med_change,race
Male,9261,0.004422415324902729,0.010537210493788862,0.003766715299507452,0.0044855246150928615,False,False,3,xgboost,med_change,gender
AfricanAmerican,2899,0.002568039960963775,0.033257013225151066,0.0028035353730095696,0.0038093357315759336,False,False,4,xgboost,med_change,race
Asian,106,,,,0.0038093357315759336,False,True,4,xgboost,med_change,race
Hispanic,354,0.005529236121955439,0.1138965479955667,0.0023346977718805865,0.0038093357315759336,False,False,4,xgboost,med_change,race
Other,274,0.021315477534432192,0.15431058568784262,0.020901663432808686,0.0038093357315759336,False,False,4,xgboost,med_change,race
Male,9443,0.0028137814310751352,0.02216829691767075,0.005191879324480082,0.003366566310008447,False,False,4,xgboost,med_change,gender
Unknown/Invalid,1,,,,0.003366566310008447,False,True,4,xgboost,med_change,gender
AfricanAmerican,2596,0.0020293762182057584,0.0014454920750746059,0.0024387148981669976,0.0042782907653368795,False,False,5,xgboost,med_change,race
Asian,233,0.002093086311795833,0.0011401960420022172,0.005607256134212529,0.0042782907653368795,False,False,5,xgboost,med_change,race
Hispanic,526,0.0014416629517541857,0.018605556989215677,0.004361590637007424,0.0042782907653368795,False,False,5,xgboost,med_change,race
Other,482,0.002751556171531999,0.07561529087219832,0.0031344998720646894,0.0042782907653368795,False,False,5,xgboost,med_change,race
Male,9583,0.0003204072401320479,0.024463973120150195,0.003919070185674583,0.004033098709765223,False,False,5,xgboost,med_change,gender
Unknown/Invalid,1,,,,0.004033098709765223,False,True,5,xgboost,med_change,gender
AfricanAmerican,4523,0.003523745776054743,0.0008039729571689413,0.013110983767455803,0.010919590031001836,False,False,2,mlp,med_change,race
Asian,139,,,,0.010919590031001836,False,True,2,mlp,med_change,race
Hispanic,455,0.006876354439626864,0.013440681349391137,0.007049458910938301,0.010919590031001836,False,False,2,mlp,med_change,race
Other,207,0.008352071956312268,0.043806450845595424,0.013262601002268486,0.010919590031001836,False,False,2,mlp,med_change,race
Male,9247,0.0015498118675296834,0.006411288726372755,0.01019415266085394,0.011885273210543819,False,False,2,mlp,med_change,gender
Unknown/Invalid,1,,,,0.011885273210543819,False,True,2,mlp,med_change,gender
AfricanAmerican,4821,0.00446185159221224,0.02411808620403605,0.007196413671028058,0.006712893929376854,False,False,3,mlp,med_change,race
Asian,88,,,,0.006712893929376854,False,True,3,mlp,med_change,race
Hispanic,261,0.009911533420707719,0.08353486194808685,0.011210467661973703,0.006712893929376854,False,False,3,mlp,med_change,race
Other,254,0.020824231833406093,0.023619937520536816,0.022236961872302508,0.006712893929376854,False,False,3,mlp,med_change,race
Male,9261,0.002010237439227236,0.011885408889684812,0.005892766116379046,0.007559514158087463,False,False,3,mlp,med_change,gender
AfricanAmerican,2899,0.004212012433815304,0.03492193727914761,0.00835181112307587,0.00798478359387425,False,False,4,mlp,med_change,race
Asian,106,,,,0.00798478359387425,False,True,4,mlp,med_change,race
Hispanic,354,0.003381795793245046,0.11101188062606437,0.013253826613045467,0.00798478359387425,False,False,4,mlp,med_change,race
Other,274,0.024265964852863697,0.15425077707540247,0.02761376451913037,0.00798478359387425,False,False,4,mlp,med_change,race
Male,9443,0.002841005554487519,0.021512393785109274,0.009629044794613136,0.007158880711091107,False,False,4,mlp,med_change,gender
Unknown/Invalid,1,,,,0.007158880711091107,False,True,4,mlp,med_change,gender
AfricanAmerican,2596,0.0024812172376012936,0.0002512702745539608,0.0059146575131803015,0.00755165787874495,False,False,5,mlp,med_change,race
Asian,233,0.0022172949002217295,0.0015640018178695314,0.007442418252970052,0.00755165787874495,False,False,5,mlp,med_change,race
Hispanic,526,0.005410850867259009,0.014379469844527093,0.006822973240647787,0.00755165787874495,False,False,5,mlp,med_change,race
Other,482,0.0022172949002217295,0.07188971905470454,0.01269786622179516,0.00755165787874495,False,False,5,mlp,med_change,race
Male,9583,0.0016651726482342921,0.024533821740778006,0.007546398459097117,0.006990186117438237,False,False,5,mlp,med_change,gender
Unknown/Invalid,1,,,,0.006990186117438237,False,True,5,mlp,med_change,gender
