drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
covariate,0,0.5,0.2507479093703272,0.24414155371030988,0.6051394035835622,logistic_regression,readmit_30,0
covariate,0,0.5,0.020419680878354114,0.005034255414785069,0.02764115296033774,xgboost,readmit_30,0
covariate,0,0.5,0.0,0.0,0.10494219276781852,mlp,readmit_30,0
covariate,0,0.5,0.0,0.0,0.7044181598217467,logistic_regression,extended_stay,0
covariate,0,0.5,0.11681415190771216,0.1033078107425413,0.11221580394191927,xgboost,extended_stay,0
covariate,0,0.5,0.0,0.0,0.704417980613963,mlp,extended_stay,0
covariate,0,0.5,0.09632971079525379,0.051621830713638975,0.3137876395715562,logistic_regression,med_change,0
covariate,0,0.5,0.00531696925978975,0.02399930506992587,0.004416350066643289,xgboost,med_change,0
covariate,0,0.5,0.010880596223032748,0.005723280472880352,0.45304670971529554,mlp,med_change,0
covariate,1,1.0,0.335655770345368,0.3244153558260535,0.709473599543177,logistic_regression,readmit_30,0
covariate,1,1.0,0.03165563593453389,0.009805049855772416,0.08063907401427223,xgboost,readmit_30,0
covariate,1,1.0,0.0,0.0,0.1087796875710831,mlp,readmit_30,0
covariate,1,1.0,0.0,0.0,0.704418170502308,logistic_regression,extended_stay,0
covariate,1,1.0,0.3237358473821583,0.31571187628910846,0.26701537587847407,xgboost,extended_stay,0
covariate,1,1.0,0.0,0.0,0.7044181702250456,mlp,extended_stay,0
covariate,1,1.0,0.24275520605795833,0.12567285747157303,0.23896806040386417,logistic_regression,med_change,0
covariate,1,1.0,0.00531696925978975,0.02399930506992587,0.004471784095737517,xgboost,med_change,0
covariate,1,1.0,0.013464575551198125,0.006967835544442269,0.4514848461604927,mlp,med_change,0
covariate,2,1.5,0.34218714426652497,0.33043070533860275,0.7828591811435874,logistic_regression,readmit_30,0
covariate,2,1.5,0.03727361346262378,0.01561297352306136,0.10021783694164359,xgboost,readmit_30,0
covariate,2,1.5,0.0,0.0,0.1101214280893389,mlp,readmit_30,0
covariate,2,1.5,0.0,0.0,0.7044181705040446,logistic_regression,extended_stay,0
covariate,2,1.5,0.5519455058038308,0.506336228083342,0.39982869409625893,xgboost,extended_stay,0
covariate,2,1.5,0.0,0.0,0.7044181705036381,mlp,extended_stay,0
covariate,2,1.5,0.4404296246626095,0.23311944531641848,0.14896904883560144,logistic_regression,med_change,0
covariate,2,1.5,0.00531696925978975,0.02399930506992587,0.004460173914797435,xgboost,med_change,0
covariate,2,1.5,0.016909881322085294,0.008627242306524825,0.4501448692541512,mlp,med_change,0
label,0,0.15,0.027700411148373405,0.000620943696867049,0.43571807168975496,logistic_regression,readmit_30,0
label,0,0.15,0.019013243903825385,0.00441197787900411,0.03477145108790152,xgboost,readmit_30,0
label,0,0.15,0.0,0.0,0.13466300777241202,mlp,readmit_30,0
label,0,0.15,0.0,0.0,0.8499636209589188,logistic_regression,extended_stay,0
label,0,0.15,0.06115192511055967,0.04106057755864101,0.14664817661482799,xgboost,extended_stay,0
label,0,0.15,0.0,0.0,0.8498960275830372,mlp,extended_stay,0
label,0,0.15,0.07293808513546612,2.7204756180565504e-05,0.13089129958823514,logistic_regression,med_change,0
label,0,0.15,0.38799414348462663,0.02399930506992587,0.33007766025342183,xgboost,med_change,0
label,0,0.15,0.010980966325036604,0.0040638737107977965,0.1393085539983118,mlp,med_change,0
label,1,0.2,0.03392447753841488,0.000620943696867049,0.38580909931809687,logistic_regression,readmit_30,0
label,1,0.2,0.010368707250989977,0.00441197787900411,0.07536523960711575,xgboost,readmit_30,0
label,1,0.2,0.0,0.0,0.1845164914908498,mlp,readmit_30,0
label,1,0.2,0.0,0.0,0.7999739922511818,logistic_regression,extended_stay,0
label,1,0.2,0.06910489883116822,0.04106057755864101,0.09705071276823803,xgboost,extended_stay,0
label,1,0.2,0.0,0.0,0.7999063988753001,mlp,extended_stay,0
label,1,0.2,0.06643997739324745,2.7204756180565504e-05,0.15876634918255217,logistic_regression,med_change,0
label,1,0.2,0.35001296344309046,0.02399930506992587,0.27990826470358193,xgboost,med_change,0
label,1,0.2,0.014026582120152491,0.0040638737107977965,0.18059589038480126,mlp,med_change,0
label,2,0.25,0.047617423596506114,0.000620943696867049,0.335738814274281,logistic_regression,readmit_30,0
label,2,0.25,0.007671611815305332,0.00441197787900411,0.1220456148762224,xgboost,readmit_30,0
label,2,0.25,0.0,0.0,0.23450612019858677,mlp,readmit_30,0
label,2,0.25,0.0,0.0,0.7499843635434449,logistic_regression,extended_stay,0
label,2,0.25,0.0747065585822056,0.04106057755864101,0.05743237632351701,xgboost,extended_stay,0
label,2,0.25,0.0,0.0,0.7499167701675632,mlp,extended_stay,0
label,2,0.25,0.06184118161680603,2.7204756180565504e-05,0.19506587210310802,logistic_regression,med_change,0
label,2,0.25,0.30807522123893805,0.02399930506992587,0.2304811947960681,xgboost,med_change,0
label,2,0.25,0.010232300884955753,0.0040638737107977965,0.23091801072276796,mlp,med_change,0
concept,0,1.5,0.12637395326699685,0.000620943696867049,0.45832748882312974,logistic_regression,readmit_30,0
concept,0,1.5,0.004484858558228218,0.00441197787900411,0.02163490413339819,xgboost,readmit_30,0
concept,0,1.5,0.0,0.0,0.12026196723844092,mlp,readmit_30,0
concept,0,1.5,0.0,0.0,0.6601689725457265,logistic_regression,extended_stay,0
concept,0,1.5,0.21068151032479215,0.04106057755864101,0.12674558727471344,xgboost,extended_stay,0
concept,0,1.5,0.0,0.0,0.6601013791698449,mlp,extended_stay,0
concept,0,1.5,0.07509747808686063,2.7204756180565504e-05,0.4575604498602537,logistic_regression,med_change,0
concept,0,1.5,0.4662940983011079,0.02399930506992587,0.4467828207514257,xgboost,med_change,0
concept,0,1.5,0.017201301720130173,0.0040638737107977965,0.5358797803595322,mlp,med_change,0
concept,1,2.0,0.16131748976879456,0.000620943696867049,0.4417334212023041,logistic_regression,readmit_30,0
concept,1,2.0,0.005354617148239016,0.00441197787900411,0.023864471364988125,xgboost,readmit_30,0
concept,1,2.0,0.0,0.0,0.13768573824030778,mlp,readmit_30,0
concept,1,2.0,0.0,0.0,0.6157798416600182,logistic_regression,extended_stay,0
concept,1,2.0,0.18964297362750815,0.04106057755864101,0.12326858601529204,xgboost,extended_stay,0
concept,1,2.0,0.0,0.0,0.6157122482841365,mlp,extended_stay,0
concept,1,2.0,0.08406167046070742,2.7204756180565504e-05,0.5260241669104657,logistic_regression,med_change,0
concept,1,2.0,0.47659260687513194,0.02399930506992587,0.4563244096334004,xgboost,med_change,0
concept,1,2.0,0.02107598447032723,0.0040638737107977965,0.6073959198702477,mlp,med_change,0
concept,2,3.0,0.17409344155358086,0.000620943696867049,0.40854528596065304,logistic_regression,readmit_30,0
concept,2,3.0,0.00849079807085646,0.00441197787900411,0.05099050722146178,xgboost,readmit_30,0
concept,2,3.0,0.0,0.0,0.16714020826727313,mlp,readmit_30,0
concept,2,3.0,0.0,0.0,0.5270015798886014,logistic_regression,extended_stay,0
concept,2,3.0,0.18353672528527026,0.04106057755864101,0.17631386445548944,xgboost,extended_stay,0
concept,2,3.0,0.0,0.0,0.5269339865127198,mlp,extended_stay,0
concept,2,3.0,0.09670942681178891,2.7204756180565504e-05,0.6647920573896193,logistic_regression,med_change,0
concept,2,3.0,0.495033241666652,0.02399930506992587,0.48121164369867653,xgboost,med_change,0
